Date,Latitude,Longitude,Time1,Time2,Time3
06/06/2020,63.55,127.69,01:18,03:00,04:36
08/06/2020,68.84,151.01,00:42,02:18,04:00
08/06/2020,65.42,155.52,00:42,02:18,
10/06/2020,65.89,109.38,05:06,06:48,
11/06/2020,64.9,112.24,03:06,,
11/06/2020,65.84,109.5,03:06,,
14/06/2020,68.07,145.43,00:30,02:06,03:48
15/06/2020,68.59,146.56,00:12,01:48,03:30
15/06/2020,67.92,141.3,01:48,03:30,
15/06/2020,69.19,140.79,00:12,01:48,
16/06/2020,68.91,171.75,01:30,,
16/06/2020,68.85,153.77,01:30,03:12,
18/06/2020,67.76,151.8,00:54,02:36,
18/06/2020,65.38,146.43,02:36,,
18/06/2020,66.93,148.76,02:36,,
18/06/2020,66.64,149.75,00:54,02:36,
19/06/2020,65.48,155.29,00:36,02:12,
19/06/2020,65.48,154.26,00:36,02:12,
20/06/2020,67.37,154.55,01:54,03:36,
20/06/2020,67.78,151.7,01:54,03:36,
20/06/2020,68.25,151.29,01:54,03:36,
20/06/2020,69.23,150.07,01:54,03:36,
20/06/2020,68.84,153.79,01:54,03:36,
21/06/2020,66.47,151.36,01:36,03:18,
21/06/2020,67.42,154.33,01:36,03:18,
21/06/2020,67.81,151.77,01:36,03:18,
23/06/2020,67.2,156.79,01:00,,
23/06/2020,67.34,154.22,01:00,,
23/06/2020,67.11,159.52,01:00,,
23/06/2020,67.22,160.2,01:00,,
23/06/2020,67.76,164.83,01:00,,
23/06/2020,68.08,164.66,01:00,,
23/06/2020,67,164.7,01:00,,
25/06/2020,64.5,123.68,03:42,,
25/06/2020,71.38,145.64,03:42,,
25/06/2020,66.07,159.58,00:18,,
27/06/2020,67.34,154.14,01:24,03:06,
27/06/2020,65.2,160.42,01:24,,
28/06/2020,69.18,124.77,02:48,,
28/06/2020,65.17,161.47,01:06,02:42,
28/06/2020,66.38,160.75,01:06,,
28/06/2020,65.94,161.12,01:06,,
29/06/2020,69.17,124.8,04:06,,
29/06/2020,69.34,111.05,04:12,,
30/06/2020,65.39,131.95,02:06,03:48,
30/06/2020,66.41,132.84,02:06,03:48,
30/06/2020,66.62,131.37,02:06,03:48,
30/06/2020,66.69,136.4,00:30,02:06,
30/06/2020,69.12,124.76,03:48,,
01/07/2020,71.38,145.71,01:48,,
01/07/2020,70.52,145.58,01:48,,
01/07/2020,69.53,133.47,01:48,,
01/07/2020,69.87,134.78,01:48,,
02/07/2020,65.68,121.41,03:12,04:54,
05/07/2020,68.56,108.46,03:54,05:36,
05/07/2020,68.43,109.41,03:54,05:36,
05/07/2020,65.74,122.85,03:54,,
15/07/2020,65.77,122.73,04:06,,
15/07/2020,66.39,121.85,04:06,,
15/07/2020,65.82,124.6,04:06,,
16/07/2020,70.04,126.56,03:48,,
16/07/2020,70.8,127.13,03:48,,
20/07/2020,68.03,162.83,00:54,,
21/07/2020,66.63,152.3,02:12,,
21/07/2020,66.44,142.98,02:12,,
21/07/2020,66.53,143.31,02:12,,
03/08/2020,66.34,121.64,03:12,,
03/08/2020,66.55,121.43,03:12,,
05/08/2020,68.68,146.83,02:36,,
13/08/2020,64.52,111.31,05:06,,
17/08/2020,66.03,107.89,05:30,,
21/08/2020,66.02,121.74,04:12,,
22/08/2020,66.15,121.38,03:54,,
24/08/2020,64.04,114.3,05:00,,
26/08/2020,64.65,122.97,04:18,,
26/08/2020,66.21,121.41,04:24,,
26/08/2020,66.49,121.34,04:24,,
